Combined_Key,Cases_per_Cap,Deaths_per_Cap,Unemployment_Rate_Jan2020,Unemployment_Rate_Oct2020,9-Month Difference
"Crowley, Colorado, US",0.240389375,0.001649893,4.8,5.2,0.4
"Norton, Kansas, US",0.212833427,0.004476777,2,2.2,0.2
"Bon Homme, South Dakota, US",0.206781626,0.003043037,3.8,3.3,-0.5
"Lincoln, Arkansas, US",0.205773956,0.001535627,5.5,5.6,0.1
"Buffalo, South Dakota, US",0.204383282,0.00509684,6.2,5.4,-0.8
"Dewey, South Dakota, US",0.198574338,0.001188052,6.9,6.2,-0.7
"Chattahoochee, Georgia, US",0.196571009,0.000275053,4.3,4.5,0.2
"Lake, Tennessee, US",0.186288483,0.001567845,7.1,10.4,3.3
"Trousdale, Tennessee, US",0.179280397,0.001063453,3.3,6.1,2.8
"Buena Vista, Iowa, US",0.172222222,0.001070336,2.6,2.2,-0.4
"Eddy, North Dakota, US",0.168780061,0.00218627,4.9,3.1,-1.8
"Dakota, Nebraska, US",0.167781884,0.002546689,4.9,2.9,-2
"Lafayette, Florida, US",0.165043933,0.002374733,3,4,1
"Foster, North Dakota, US",0.163239875,0.005919003,3.3,2.6,-0.7
"Nobles, Minnesota, US",0.157566231,0.001895603,3.3,3.3,0
"Seward, Kansas, US",0.155404144,0.000653351,3.2,4,0.8
"Childress, Texas, US",0.154256775,0.000410621,3.2,3.4,0.2
"Lee, Arkansas, US",0.150728238,0.002258101,6.4,7.1,0.7
"Ellsworth, Kansas, US",0.150278597,0.000655523,2.7,3.2,0.5
"Big Horn, Montana, US",0.148059164,0.004279601,7.3,5.5,-1.8
"Jackson, Arkansas, US",0.147137987,0.000777558,7.4,6.6,-0.8
"Ford, Kansas, US",0.146167346,0.000386686,2.5,3.2,0.7
"Walsh, North Dakota, US",0.144911193,0.001879523,3.5,2.9,-0.6
"Menominee, Wisconsin, US",0.144205443,0.001975417,7.1,14.3,7.2
"Finney, Kansas, US",0.143554446,0.00093235,2.2,3.1,0.9
"Morton, North Dakota, US",0.142328785,0.002614462,3.9,3.6,-0.3
"Aurora, South Dakota, US",0.142130134,0.002544529,3.1,2.6,-0.5
"Hale, Texas, US",0.141291983,0.003262887,4.7,6,1.3
"Alfalfa, Oklahoma, US",0.140652403,0.000350754,2.2,3.6,1.4
"Stutsman, North Dakota, US",0.139972952,0.00323609,2.7,2.5,-0.2
"Crockett, Texas, US",0.138856813,0.002309469,4.4,7.7,3.3
"Sheridan, Kansas, US",0.138437128,0,2.7,1.8,-0.9
"Burleigh, North Dakota, US",0.138100517,0.001589526,2.9,3,0.1
"Toole, Montana, US",0.137880068,0.001689189,3.3,4.4,1.1
"Texas, Oklahoma, US",0.137116549,0.000750638,2,2.3,0.3
"Potter, South Dakota, US",0.135160242,0.000928936,3.7,3,-0.7
"Lee, Kentucky, US",0.134945292,0.002296366,6.6,7,0.4
"Nelson, North Dakota, US",0.134421674,0.003473428,3.7,3.4,-0.3
"Sioux, North Dakota, US",0.133806147,0.002364066,2.6,3.5,0.9
"Pawnee, Kansas, US",0.132834425,0.000155909,3.5,3.3,-0.2
"Benson, North Dakota, US",0.132757611,0.00219555,4.7,5.4,0.7
"Lyman, South Dakota, US",0.131711188,0.002380323,5.3,3.5,-1.8
"Beadle, South Dakota, US",0.131469138,0.001734135,3.5,3,-0.5
"Faulk, South Dakota, US",0.131361462,0.004349717,3.8,2.8,-1
"East Carroll, Louisiana, US",0.131176213,0.002040519,12.6,12.7,0.1
"Davison, South Dakota, US",0.130922882,0.002579014,3.4,2.8,-0.6
"Chicot, Arkansas, US",0.130262898,0.002866179,8.8,10.9,2.1
"Grand Forks, North Dakota, US",0.129357389,0.000806324,2.2,2.9,0.7
"Wayne, Tennessee, US",0.129250885,0.000899658,6.1,7.9,1.8
"Colfax, Nebraska, US",0.12923709,0.00158745,2.8,1.8,-1
"Oglala Lakota, South Dakota, US",0.127601044,0.00218664,9.2,11.3,2.1
"Griggs, North Dakota, US",0.127297176,0.000896459,2.3,2.1,-0.2
"Sanborn, South Dakota, US",0.126706485,0.001279863,3.7,3.3,-0.4
"Jerauld, South Dakota, US",0.125186289,0.007451565,2.3,2.2,-0.1
"Dickey, North Dakota, US",0.124589491,0.006568144,2,2.2,0.2
"Logan, Colorado, US",0.124369673,0.002186621,2.6,3.9,1.3
"Plymouth, Iowa, US",0.123962347,0.001668189,2.8,2,-0.8
"Bent, Colorado, US",0.123901739,0.000717231,2.9,3.7,0.8
"Stark, North Dakota, US",0.123725745,0.001270285,2.5,7.3,4.8
"Madison, Idaho, US",0.123712632,0.000250583,2.1,2.7,0.6
"Potter, Texas, US",0.122769663,0.002248435,2.8,5.1,2.3
"Grant, Kansas, US",0.122657343,0.001958042,2.5,4.1,1.6
"Culberson, Texas, US",0.122524182,0.001381852,4.1,7.2,3.1
"Nemaha, Kansas, US",0.122470922,0.004202913,2.9,2.9,0
"Lincoln, Colorado, US",0.121733029,0.000175408,3,3.9,0.9
"Ward, North Dakota, US",0.120725595,0.002350645,3,4.9,1.9
"East Feliciana, Louisiana, US",0.120512151,0.004703423,5.2,7.3,2.1
"Minnehaha, South Dakota, US",0.120481117,0.001201239,3.5,3.1,-0.4
"McIntosh, North Dakota, US",0.120144173,0.002803364,3.2,2.5,-0.7
"Roosevelt, Montana, US",0.120138132,0.003816794,4.8,4.9,0.1
"Rolette, North Dakota, US",0.119991535,0.001410835,8.7,10.8,2.1
"Jones, Iowa, US",0.119868478,0.001644021,5.2,2.8,-2.4
"McKinley, New Mexico, US",0.119677162,0.004413805,7.1,10.6,3.5
"Gove, Kansas, US",0.119499241,0.007587253,2.4,2.1,-0.3
"Lubbock, Texas, US",0.118920433,0.001500472,2.9,5.1,2.2
"Lamb, Texas, US",0.118513922,0.004421004,4.1,4.7,0.6
"Pierce, North Dakota, US",0.118238994,0.005031447,3.7,2.5,-1.2
"Calhoun, Iowa, US",0.117811336,0.000827472,3.3,2.3,-1
"Ramsey, North Dakota, US",0.117805365,0.00112857,3.4,2.8,-0.6
"Kearny, Kansas, US",0.117509119,0.002084419,2.3,2.4,0.1
"Douglas, South Dakota, US",0.117425539,0.002054091,3.6,2.3,-1.3
"Mercer, North Dakota, US",0.117381214,0.001099304,5.4,4.2,-1.2
"Sioux, Iowa, US",0.117314589,0.001118921,2.9,1.3,-1.6
"Kandiyohi, Minnesota, US",0.117039746,0.001111137,4.7,2.9,-1.8
"McLean, North Dakota, US",0.116613757,0.001904762,4.3,3.1,-1.2
"Dodge, Wisconsin, US",0.116576919,0.001115678,4.1,3.8,-0.3
"Saline, Nebraska, US",0.116563555,0.000210911,3.4,2.1,-1.3
"Brule, South Dakota, US",0.116103455,0.000943931,3.6,3.1,-0.5
"Henry, Iowa, US",0.116016839,0.001002305,3.8,2.8,-1
"Deaf Smith, Texas, US",0.115766203,0.002426399,2.8,3.7,0.9
"Crawford, Iowa, US",0.115517241,0.000951249,5.7,2.7,-3
"Renville, North Dakota, US",0.115169746,0.005156854,3.5,3.8,0.3
"Webster, Iowa, US",0.113942736,0.001420455,3.7,3,-0.7
"Lassen, California, US",0.113760508,0.000196252,5.6,5.2,-0.4
"McCook, South Dakota, US",0.11367705,0.003759398,3.5,2.8,-0.7
"Prairie, Montana, US",0.113277623,0.00185701,5.1,6,0.9
"Barnes, North Dakota, US",0.113202112,0.002112338,2.8,2.4,-0.4
"Codington, South Dakota, US",0.113106501,0.002106466,3.5,3.4,-0.1
"Fayette, Illinois, US",0.112954631,0.001921635,4.7,4.1,-0.6
"Wright, Iowa, US",0.112800509,0.000955262,3.1,2.5,-0.6
"Rawlins, Kansas, US",0.112648221,0.001185771,2.3,2.5,0.2
"Powell, Montana, US",0.111901306,0.000725689,4.5,3.1,-1.4
"Woodbury, Iowa, US",0.111612209,0.001464498,3.6,2.9,-0.7
"Charles Mix, South Dakota, US",0.111493758,0.001076195,3.9,4.7,0.8
"Towner, North Dakota, US",0.111466423,0.004568296,2.8,2,-0.8
"El Paso, Texas, US",0.111356969,0.001661031,4,7.2,3.2
"Sevier, Arkansas, US",0.111307109,0.001175986,5.6,5.6,0
"Emmons, North Dakota, US",0.111076828,0.003085467,6,3.4,-2.6
"Haywood, Tennessee, US",0.110783634,0.001791493,5.3,9.5,4.2
"Cass, Illinois, US",0.110726928,0.002140446,4.2,3.6,-0.6
"Gregory, South Dakota, US",0.110633214,0.005734767,4.3,3,-1.3
"Grant, South Dakota, US",0.110039705,0.002836075,5.2,2.4,-2.8
"Rosebud, Montana, US",0.109992167,0.002909254,5,4.9,-0.1
"LaMoure, North Dakota, US",0.109490855,0.003954523,2.2,1.9,-0.3
"Thomas, Kansas, US",0.109425228,0.000771506,2.3,2.5,0.2
"Ness, Kansas, US",0.109090909,0.004727273,2.7,3,0.3
"Carroll, Iowa, US",0.108554426,0.001289363,2.3,2.2,-0.1
"Yuma, Arizona, US",0.108547292,0.001997315,13.7,15.6,1.9
"Mountrail, North Dakota, US",0.108487435,0.001422475,1.6,5.4,3.8
"Scott, Kansas, US",0.108438731,0.001866058,2,2.4,0.4
"Woodward, Oklahoma, US",0.108406313,0.000395824,3.6,7.8,4.2
"Wibaux, Montana, US",0.108359133,0.004127967,3.1,4.4,1.3
"Traill, North Dakota, US",0.108262817,0.0018666,2.8,2,-0.8
"Tripp, South Dakota, US",0.10825216,0.001837897,3.2,2.3,-0.9
"Galax, Virginia, US",0.108240113,0.004726643,3.4,4.8,1.4
"Imperial, California, US",0.108202963,0.002096957,18,18.8,0.8
"Santa Cruz, Arizona, US",0.108133683,0.001806529,8,13,5
"Logan, North Dakota, US",0.108108108,0.003243243,3.2,1.8,-1.4
"Todd, South Dakota, US",0.107988602,0.001670433,7,5.3,-1.7
"Bethel, Alaska, US",0.107581856,0.000435114,12.8,8.4,-4.4
"Clay, South Dakota, US",0.10753376,0.000781805,3.4,3.1,-0.3
"Madison, Louisiana, US",0.107387453,0.001461054,9.6,8.8,-0.8
"Golden Valley, North Dakota, US",0.107325383,0,1.7,2.7,1
"Cavalier, North Dakota, US",0.106858054,0.001063264,3.1,2.3,-0.8
"Turner, South Dakota, US",0.106750954,0.005605916,4.2,2.6,-1.6
"O'Brien, Iowa, US",0.106449502,0.003272013,2.9,1.9,-1
"Hughes, South Dakota, US",0.106413329,0.001426452,3.2,2.3,-0.9
"Scurry, Texas, US",0.106388074,0.001616476,3.8,7.7,3.9
"Walworth, South Dakota, US",0.106347746,0.002391904,7.2,4.4,-2.8
"Republic, Kansas, US",0.106341674,0.001941329,2.7,3,0.3
"Corson, South Dakota, US",0.10597161,0.001223691,5.3,4,-1.3
"Clinton, Illinois, US",0.105931527,0.001970076,3.2,3,-0.2
"Obion, Tennessee, US",0.10585653,0.002128438,5.1,8,2.9
"Hettinger, North Dakota, US",0.105642257,0.00120048,3.3,3.6,0.3
"Parmer, Texas, US",0.105570016,0.002915148,2.4,2.8,0.4
"Brown, South Dakota, US",0.105358016,0.001132882,3.5,3.1,-0.4
"Haakon, South Dakota, US",0.104791996,0.001579779,3.3,2.3,-1
"Rock, Minnesota, US",0.104133119,0.001073537,2.7,1.9,-0.8
"Cass, North Dakota, US",0.103774674,0.000846512,2.5,3,0.5
"Dawson, Texas, US",0.103551226,0.003299811,4.4,8.5,4.1
"Shawano, Wisconsin, US",0.103547764,0.001442578,4.8,4.8,0
"Spink, South Dakota, US",0.103199498,0.003136763,4.6,3.1,-1.5
"Dubuque, Iowa, US",0.10314353,0.001294818,4.1,3.3,-0.8
"Carter, Montana, US",0.103035144,0.003194888,2.4,2.3,-0.1
"Lyon, Minnesota, US",0.10288922,0.000902881,4.3,2.5,-1.8
"Cottonwood, Minnesota, US",0.10253662,0.000446588,4.1,4.2,0.1
"Jackson, Wisconsin, US",0.102504481,0.000290655,6.3,6.9,0.6
"Effingham, Illinois, US",0.102152435,0.001323218,3.2,3.5,0.3
"Sheridan, Montana, US",0.102145663,0.000906618,3.3,4.3,1
"Sargent, North Dakota, US",0.101847101,0.001282709,1.8,2.6,0.8
"Elkhart, Indiana, US",0.101753893,0.00136667,3,4.2,1.2
"Bennett, South Dakota, US",0.101634473,0.001783061,5.8,4.6,-1.2
"Jones, Texas, US",0.101578449,0.00089628,4.3,6.7,2.4
"Reno, Kansas, US",0.101503274,0.001290364,3.4,4.7,1.3
"Pembina, North Dakota, US",0.101455668,0.001323335,4.3,2.9,-1.4
"Rush, Kansas, US",0.101449275,0,3.1,3.9,0.8
"Mellette, South Dakota, US",0.101407084,0.000485201,6.9,4.3,-2.6
"Hardeman, Tennessee, US",0.101317365,0.001596806,5.8,9.4,3.6
"Platte, Nebraska, US",0.101284733,0.001105468,2.9,2.3,-0.6
"Madison, Nebraska, US",0.101085501,0.000997179,3,3.1,0.1
"Phillips, Kansas, US",0.101069927,0.002292702,2.7,2.9,0.2
"Ellis, Kansas, US",0.101040171,0.001050678,2.3,2.9,0.6
"Roseau, Minnesota, US",0.100692384,0.000593472,4.7,2.8,-1.9
"Lincoln, South Dakota, US",0.100690355,0.00093247,2.9,2.7,-0.2
"Williams, North Dakota, US",0.10037511,0.000691692,2.1,11.6,9.5
"Sac, Iowa, US",0.100298323,0.001028701,3.5,2,-1.5
"Issaquena, Mississippi, US",0.100226074,0.003014318,11.3,8.5,-2.8
"Okfuskee, Oklahoma, US",0.100225131,0.00125073,5.1,6.7,1.6
"Dyer, Tennessee, US",0.100217982,0.001641594,5.5,8.2,2.7
"Oconto, Wisconsin, US",0.099947271,0.00102821,5.7,4.4,-1.3
"Wells, North Dakota, US",0.09989567,0.001043297,5,2.8,-2.2
"Fond du Lac, Wisconsin, US",0.099823023,0.000638279,3.7,3.7,0
"Winnebago, Iowa, US",0.099768206,0.002511107,3.2,3,-0.2
"Stearns, Minnesota, US",0.099736148,0.000900202,4,3.5,-0.5
"Osceola, Iowa, US",0.099530044,0.000839208,2.6,1.6,-1
"Coke, Texas, US",0.099498081,0.002657219,2.8,5.2,2.4
"Wallace, Kansas, US",0.099472991,0,2.8,2.5,-0.3
"Crane, Texas, US",0.099228685,0.001876173,5.2,15,9.8
"Hancock, Iowa, US",0.09915334,0.001975541,3.2,2.5,-0.7
"Nodaway, Missouri, US",0.099040377,0.000814775,3.8,2.5,-1.3
"Bailey, Texas, US",0.099,0.001571429,4,4.4,0.4
"Cassia, Idaho, US",0.098918019,0.000832293,2.9,3.3,0.4
"Kingsbury, South Dakota, US",0.098805426,0.002632112,3.7,2.5,-1.2
