FIPS,county,todays_date,hospitalized_covid_confirmed_patients,hospitalized_suspected_covid_patients,hospitalized_covid_patients,all_hospital_beds,icu_covid_confirmed_patients,icu_suspected_covid_patients,icu_available_beds,intensive_care_capacity,bed_filled,county_population,Remaining_icu_per_100k,icu_per,region,region_number,ICU_availability,order-in-effect,Date,Population,none,12/14/2020
6087,Santa Cruz,12/16/2020,58,0,58,372,11,0,2,13,11,273213,0.7,0.7,Bay Area,2,12.9,"The region is under the state's stay-at-home order, effective 12/18/2020.",12/16/2020,nearly 8.5 million,null,null
6041,Marin,12/16/2020,35,3,38,349,10,0,5,30,25,258826,1.9,1.9,Bay Area,2,12.9,"The county preemptively adopted the state's stay-at-home order on 12/7/2020. The region is under the state's stay-at-home order, effective 12/18/2020.",12/16/2020,nearly 8.5 million,null,null
6097,Sonoma,12/16/2020,65,2,67,569,11,0,23,72,49,494336,4.7,4.7,Bay Area,2,12.9,"The county preemptively adoped the state's stay-at-home order on 12/12/2020. The region is under the state's stay-at-home order, effective 12/18/2020.",12/16/2020,nearly 8.5 million,null,null
6055,Napa,12/16/2020,22,1,23,254,7,0,6,48,42,137744,4.4,4.4,Bay Area,2,12.9,"The region is under the state's stay-at-home order, effective 12/18/2020.",12/16/2020,nearly 8.5 million,null,null
6095,Solano,12/16/2020,105,16,121,586,32,1,9,82,73,447643,2,2,Bay Area,2,12.9,"The region is under the state's stay-at-home order, effective 12/18/2020.",12/16/2020,nearly 8.5 million,null,null
6053,Monterey,12/16/2020,145,2,147,717,24,1,15,30,15,434061,3.5,3.5,Bay Area,2,12.9,"The region is under the state's stay-at-home order, effective 12/18/2020.",12/16/2020,nearly 8.5 million,null,null
6081,San Mateo,12/16/2020,116,13,129,758,31,1,28,96,68,766573,3.7,3.7,Bay Area,2,12.9,"The region is under the state's stay-at-home order, effective 12/18/2020.",12/16/2020,nearly 8.5 million,null,null
6013,Contra Costa,12/16/2020,196,10,206,1508,50,1,28,169,141,1153526,2.4,2.4,Bay Area,2,12.9,"The county preemptively adopted the state's stay-at-home order on 12/7/2020. The region is under the state's stay-at-home order, effective 12/18/2020.",12/16/2020,nearly 8.5 million,null,null
6085,Santa Clara,12/16/2020,559,26,585,3126,127,1,46,462,416,1927852,2.4,2.4,Bay Area,2,12.9,"The county preemptively adopted the state's stay-at-home order on 12/7/2020. The region is under the state's stay-at-home order, effective 12/18/2020.",12/16/2020,nearly 8.5 million,null,null
6075,San Francisco,12/16/2020,140,3,143,1943,41,0,51,326,275,881549,5.8,5.8,Bay Area,2,12.9,"The county preemptively adopted the state's stay-at-home order on 12/7/2020. The region is under the state's stay-at-home order, effective 12/18/2020.",12/16/2020,nearly 8.5 million,null,null
6001,Alameda,12/16/2020,336,39,375,2558,89,5,73,291,218,1671329,4.4,4.4,Bay Area,2,12.9,"The county preemptively adopted the state's stay-at-home order on 12/7/2020. The region is under the state's stay-at-home order, effective 12/18/2020.",12/16/2020,nearly 8.5 million,null,null
6003,Alpine,null,0,0,0,0,0,null,0,0,0,1129,0,-1,Greater Sacramento,3,14.1,"The region is under the state's stay-at-home order, effective 12/10/2020.",12/16/2020,more than 2.9 million,[Note: This county has no facilities with ICU beds.],null
